iter	Passed	Remaining
0	21	4276
1	42	4221
2	63	4202
3	85	4168
4	106	4149
5	128	4147
6	148	4107
7	170	4101
8	193	4101
9	215	4099
10	238	4099
11	261	4101
12	284	4096
13	308	4096
14	330	4075
15	351	4047
16	390	4203
17	413	4179
18	434	4143
19	457	4114
20	479	4084
21	501	4056
22	523	4029
23	546	4004
24	567	3971
25	590	3953
26	611	3920
27	633	3891
28	655	3862
29	677	3838
30	697	3804
31	718	3774
32	740	3748
33	762	3723
34	783	3695
35	804	3665
36	826	3640
37	847	3611
38	869	3588
39	891	3564
40	912	3539
41	935	3518
42	957	3496
43	980	3475
44	1004	3458
45	1025	3432
46	1046	3407
47	1070	3389
48	1092	3366
49	1113	3341
50	1135	3316
51	1159	3299
52	1182	3279
53	1205	3258
54	1228	3239
55	1251	3217
56	1273	3194
57	1296	3173
58	1319	3152
59	1341	3130
60	1364	3108
61	1385	3083
62	1407	3061
63	1445	3071
64	1467	3047
65	1489	3025
66	1512	3001
67	1534	2978
68	1557	2956
69	1578	2930
70	1600	2907
71	1620	2881
72	1642	2857
73	1665	2836
74	1686	2810
75	1707	2785
76	1729	2762
77	1751	2739
78	1772	2715
79	1794	2691
80	1818	2670
81	1838	2646
82	1860	2622
83	1882	2599
84	1904	2576
85	1925	2552
86	1947	2529
87	1969	2506
88	1990	2482
89	2012	2460
90	2035	2438
91	2057	2415
92	2078	2391
93	2101	2370
94	2124	2347
95	2145	2324
96	2168	2302
97	2190	2279
98	2211	2256
99	2232	2232
100	2254	2210
101	2277	2187
102	2298	2164
103	2318	2140
104	2339	2117
105	2361	2094
106	2383	2071
107	2404	2048
108	2427	2026
109	2448	2003
110	2469	1980
111	2510	1972
112	2532	1950
113	2554	1927
114	2576	1904
115	2598	1881
116	2620	1858
117	2641	1835
118	2663	1812
119	2684	1789
120	2706	1766
121	2729	1745
122	2750	1721
123	2772	1699
124	2795	1677
125	2816	1653
126	2837	1631
127	2860	1609
128	2883	1587
129	2904	1564
130	2925	1541
131	2947	1518
132	2970	1496
133	2993	1474
134	3019	1453
135	3043	1432
136	3065	1409
137	3087	1387
138	3109	1364
139	3132	1342
140	3155	1320
141	3177	1297
142	3197	1274
143	3219	1251
144	3241	1229
145	3264	1207
146	3287	1185
147	3309	1162
148	3332	1140
149	3356	1118
150	3379	1096
151	3401	1074
152	3423	1051
153	3445	1029
154	3466	1006
155	3488	983
156	3510	961
157	3532	939
158	3571	920
159	3593	898
160	3616	876
161	3637	853
162	3659	830
163	3682	808
164	3704	785
165	3725	762
166	3747	740
167	3768	717
168	3791	695
169	3813	672
170	3834	650
171	3855	627
172	3878	605
173	3898	582
174	3920	560
175	3942	537
176	3964	515
177	3986	492
178	4009	470
179	4031	447
180	4052	425
181	4073	402
182	4094	380
183	4116	357
184	4138	335
185	4160	313
186	4181	290
187	4203	268
188	4226	245
189	4248	223
190	4270	201
191	4291	178
192	4313	156
193	4336	134
194	4358	111
195	4380	89
196	4402	67
197	4425	44
198	4446	22
199	4468	0
