iter	Passed	Remaining
0	27	5471
1	49	4913
2	73	4852
3	95	4664
4	117	4592
5	138	4480
6	161	4450
7	184	4424
8	205	4358
9	226	4304
10	249	4285
11	270	4245
12	291	4193
13	315	4192
14	340	4198
15	363	4175
16	384	4139
17	405	4101
18	429	4090
19	452	4070
20	474	4046
21	497	4022
22	518	3990
23	540	3962
24	562	3936
25	584	3913
26	606	3884
27	628	3861
28	649	3829
29	671	3802
30	693	3778
31	714	3750
32	738	3735
33	760	3711
34	781	3684
35	815	3716
36	836	3686
37	858	3661
38	880	3633
39	902	3608
40	923	3582
41	945	3558
42	968	3535
43	990	3513
44	1012	3489
45	1036	3468
46	1058	3446
47	1080	3421
48	1103	3401
49	1125	3376
50	1147	3351
51	1168	3325
52	1190	3302
53	1215	3287
54	1239	3267
55	1262	3245
56	1283	3219
57	1304	3194
58	1327	3172
59	1351	3152
60	1374	3131
61	1394	3104
62	1415	3079
63	1438	3057
64	1460	3033
65	1483	3012
66	1506	2990
67	1530	2971
68	1552	2948
69	1574	2924
70	1597	2902
71	1619	2878
72	1640	2854
73	1663	2833
74	1684	2808
75	1706	2783
76	1728	2761
77	1749	2737
78	1772	2714
79	1794	2691
80	1816	2668
81	1838	2644
82	1868	2633
83	1889	2609
84	1910	2585
85	1932	2561
86	1953	2537
87	1976	2515
88	2000	2495
89	2021	2471
90	2043	2448
91	2067	2427
92	2093	2408
93	2114	2384
94	2137	2362
95	2159	2339
96	2182	2317
97	2205	2295
98	2226	2271
99	2247	2247
100	2268	2223
101	2290	2200
102	2313	2178
103	2334	2155
104	2356	2131
105	2378	2109
106	2400	2086
107	2423	2064
108	2444	2041
109	2466	2017
110	2488	1995
111	2511	1972
112	2533	1950
113	2556	1928
114	2579	1906
115	2601	1884
116	2624	1862
117	2647	1840
118	2671	1818
119	2693	1795
120	2715	1772
121	2736	1749
122	2759	1727
123	2781	1704
124	2803	1681
125	2825	1659
126	2847	1636
127	2868	1613
128	2891	1591
129	2913	1568
130	2934	1545
131	2955	1522
132	2977	1499
133	3000	1478
134	3023	1455
135	3047	1433
136	3070	1411
137	3093	1389
138	3118	1368
139	3141	1346
140	3171	1327
141	3193	1304
142	3216	1281
143	3238	1259
144	3262	1237
145	3285	1215
146	3307	1192
147	3331	1170
148	3354	1148
149	3376	1125
150	3400	1103
151	3422	1080
152	3444	1058
153	3466	1035
154	3488	1012
155	3510	990
156	3531	967
157	3554	944
158	3576	922
159	3598	899
160	3620	876
161	3642	854
162	3664	831
163	3686	809
164	3708	786
165	3731	764
166	3753	741
167	3775	719
168	3797	696
169	3820	674
170	3842	651
171	3864	629
172	3886	606
173	3910	584
174	3933	561
175	3954	539
176	3976	516
177	3999	494
178	4021	471
179	4043	449
180	4066	426
181	4090	404
182	4114	382
183	4136	359
184	4158	337
185	4180	314
186	4209	292
187	4230	270
188	4253	247
189	4275	225
190	4296	202
191	4319	179
192	4341	157
193	4362	134
194	4383	112
195	4404	89
196	4426	67
197	4447	44
198	4468	22
199	4489	0
