iter	Passed	Remaining
0	23	4584
1	44	4387
2	65	4299
3	86	4242
4	108	4226
5	129	4200
6	151	4189
7	174	4196
8	195	4159
9	218	4144
10	239	4119
11	261	4094
12	284	4093
13	308	4093
14	330	4077
15	351	4047
16	373	4018
17	395	4003
18	420	4007
19	443	3987
20	465	3967
21	488	3955
22	511	3937
23	533	3913
24	554	3884
25	576	3860
26	600	3850
27	624	3833
28	646	3810
29	667	3783
30	689	3760
31	710	3731
32	734	3715
33	762	3721
34	785	3705
35	808	3681
36	830	3660
37	853	3637
38	874	3611
39	897	3590
40	919	3565
41	942	3544
42	964	3522
43	989	3506
44	1011	3483
45	1033	3458
46	1054	3433
47	1078	3414
48	1099	3389
49	1120	3361
50	1143	3339
51	1164	3314
52	1186	3292
53	1209	3270
54	1233	3252
55	1255	3227
56	1277	3203
57	1299	3182
58	1321	3157
59	1342	3132
60	1363	3107
61	1386	3086
62	1408	3062
63	1429	3036
64	1450	3013
65	1474	2993
66	1495	2968
67	1516	2944
68	1537	2919
69	1558	2893
70	1579	2869
71	1600	2844
72	1621	2821
73	1644	2799
74	1666	2777
75	1689	2756
76	1711	2734
77	1733	2711
78	1754	2687
79	1779	2668
80	1803	2649
81	1835	2640
82	1857	2618
83	1882	2599
84	1906	2579
85	1930	2558
86	1954	2538
87	1975	2514
88	1998	2492
89	2020	2469
90	2043	2447
91	2064	2423
92	2087	2401
93	2110	2379
94	2132	2356
95	2153	2332
96	2176	2311
97	2199	2289
98	2220	2265
99	2242	2242
100	2264	2220
101	2285	2196
102	2307	2173
103	2329	2150
104	2351	2127
105	2373	2105
106	2395	2081
107	2417	2059
108	2439	2036
109	2460	2013
110	2482	1990
111	2506	1969
112	2527	1945
113	2548	1922
114	2571	1900
115	2592	1877
116	2614	1855
117	2636	1832
118	2659	1810
119	2682	1788
120	2705	1766
121	2727	1743
122	2749	1721
123	2772	1699
124	2795	1677
125	2817	1654
126	2839	1632
127	2861	1609
128	2892	1591
129	2914	1569
130	2935	1546
131	2956	1523
132	2978	1500
133	3000	1477
134	3022	1455
135	3043	1432
136	3064	1409
137	3087	1387
138	3110	1365
139	3132	1342
140	3154	1320
141	3177	1297
142	3199	1275
143	3222	1253
144	3244	1230
145	3265	1207
146	3288	1185
147	3309	1162
148	3331	1140
149	3354	1118
150	3376	1095
151	3397	1072
152	3418	1050
153	3440	1027
154	3462	1005
155	3484	982
156	3506	960
157	3528	937
158	3549	915
159	3571	892
160	3594	870
161	3615	848
162	3637	825
163	3659	803
164	3681	780
165	3704	758
166	3726	736
167	3747	713
168	3768	691
169	3788	668
170	3810	646
171	3832	623
172	3857	602
173	3879	579
174	3900	557
175	3923	535
176	3955	513
177	3976	491
178	3997	469
179	4020	446
180	4041	424
181	4063	401
182	4086	379
183	4107	357
184	4129	334
185	4152	312
186	4174	290
187	4194	267
188	4215	245
189	4238	223
190	4259	200
191	4281	178
192	4303	156
193	4325	133
194	4346	111
195	4368	89
196	4389	66
197	4411	44
198	4431	22
199	4454	0
