iter	Passed	Remaining
0	26	5253
1	47	4733
2	68	4520
3	89	4385
4	110	4322
5	133	4325
6	155	4282
7	176	4226
8	199	4234
9	222	4218
10	244	4207
11	266	4170
12	289	4170
13	311	4143
14	332	4097
15	352	4058
16	373	4020
17	395	4002
18	416	3968
19	438	3950
20	460	3923
21	481	3895
22	504	3882
23	525	3856
24	547	3831
25	568	3804
26	590	3781
27	610	3752
28	632	3731
29	654	3708
30	676	3686
31	698	3665
32	719	3640
33	739	3611
34	761	3588
35	783	3567
36	803	3540
37	824	3516
38	845	3490
39	866	3464
40	886	3438
41	908	3417
42	930	3396
43	951	3371
44	975	3359
45	999	3347
46	1022	3328
47	1069	3388
48	1093	3368
49	1114	3344
50	1138	3327
51	1161	3304
52	1182	3278
53	1204	3256
54	1226	3233
55	1247	3207
56	1269	3184
57	1292	3165
58	1314	3141
59	1336	3118
60	1358	3095
61	1380	3073
62	1401	3048
63	1423	3024
64	1443	2998
65	1464	2973
66	1485	2948
67	1506	2924
68	1528	2902
69	1551	2881
70	1573	2858
71	1595	2836
72	1617	2813
73	1639	2792
74	1662	2770
75	1687	2753
76	1710	2732
77	1735	2714
78	1759	2694
79	1783	2675
80	1805	2652
81	1827	2629
82	1850	2608
83	1872	2586
84	1896	2566
85	1919	2544
86	1940	2520
87	1963	2499
88	1985	2475
89	2006	2452
90	2029	2431
91	2054	2412
92	2076	2389
93	2098	2366
94	2148	2374
95	2171	2352
96	2194	2329
97	2216	2307
98	2237	2282
99	2257	2257
100	2279	2234
101	2300	2209
102	2320	2185
103	2341	2161
104	2361	2136
105	2383	2113
106	2403	2089
107	2425	2066
108	2447	2043
109	2468	2019
110	2491	1997
111	2515	1976
112	2537	1953
113	2559	1930
114	2579	1906
115	2600	1883
116	2622	1860
117	2645	1838
118	2667	1815
119	2690	1793
120	2712	1771
121	2733	1747
122	2757	1726
123	2781	1705
124	2804	1682
125	2828	1661
126	2850	1638
127	2873	1616
128	2893	1592
129	2915	1569
130	2944	1551
131	2973	1531
132	2997	1509
133	3019	1487
134	3041	1464
135	3063	1441
136	3084	1418
137	3108	1396
138	3131	1374
139	3156	1352
140	3180	1330
141	3208	1310
142	3231	1288
143	3254	1265
144	3276	1242
145	3299	1220
146	3319	1196
147	3341	1174
148	3365	1151
149	3387	1129
150	3410	1106
151	3433	1084
152	3466	1064
153	3487	1041
154	3510	1019
155	3533	996
156	3559	974
157	3584	952
158	3605	929
159	3629	907
160	3651	884
161	3674	862
162	3697	839
163	3720	816
164	3743	793
165	3767	771
166	3790	748
167	3819	727
168	3843	704
169	3867	682
170	3891	659
171	3917	637
172	3943	615
173	3966	592
174	3990	570
175	4013	547
176	4038	524
177	4062	502
178	4085	479
179	4109	456
180	4133	433
181	4158	411
182	4178	388
183	4200	365
184	4223	342
185	4245	319
186	4374	304
187	4397	280
188	4422	257
189	4444	233
190	4465	210
191	4487	186
192	4508	163
193	4528	140
194	4549	116
195	4570	93
196	4591	69
197	4613	46
198	4635	23
199	4655	0
