iter	Passed	Remaining
0	21	4252
1	41	4137
2	62	4132
3	86	4230
4	107	4186
5	128	4158
6	169	4680
7	191	4604
8	214	4544
9	236	4499
10	259	4457
11	282	4418
12	304	4381
13	326	4332
14	349	4314
15	371	4270
16	393	4234
17	415	4196
18	435	4153
19	457	4120
20	479	4085
21	501	4060
22	523	4025
23	543	3989
24	564	3954
25	587	3932
26	608	3897
27	630	3875
28	652	3845
29	674	3821
30	695	3792
31	716	3761
32	738	3738
33	761	3716
34	781	3686
35	804	3666
36	826	3642
37	847	3614
38	871	3595
39	893	3574
40	916	3553
41	939	3535
42	962	3514
43	983	3488
44	1006	3467
45	1028	3442
46	1050	3420
47	1072	3396
48	1095	3375
49	1117	3353
50	1140	3331
51	1163	3311
52	1185	3288
53	1228	3320
54	1249	3295
55	1272	3272
56	1294	3247
57	1316	3223
58	1339	3201
59	1361	3175
60	1382	3149
61	1403	3124
62	1424	3097
63	1445	3072
64	1469	3051
65	1490	3026
66	1512	3002
67	1535	2980
68	1557	2956
69	1578	2931
70	1600	2907
71	1621	2882
72	1643	2858
73	1665	2836
74	1688	2813
75	1710	2790
76	1733	2768
77	1756	2747
78	1777	2722
79	1799	2699
80	1823	2678
81	1847	2658
82	1870	2636
83	1892	2613
84	1914	2590
85	1936	2566
86	1957	2542
87	1978	2518
88	2000	2495
89	2021	2471
90	2043	2447
91	2066	2425
92	2088	2402
93	2109	2378
94	2131	2356
95	2153	2333
96	2177	2312
97	2199	2289
98	2221	2266
99	2244	2244
100	2266	2221
101	2436	2341
102	2459	2316
103	2481	2290
104	2502	2263
105	2523	2238
106	2544	2211
107	2566	2185
108	2588	2160
109	2610	2135
110	2631	2110
111	2652	2084
112	2675	2059
113	2697	2034
114	2720	2010
115	2741	1985
116	2762	1959
117	2784	1935
118	2807	1910
119	2829	1886
120	2850	1861
121	2871	1835
122	2893	1811
123	2914	1786
124	2936	1761
125	2959	1737
126	2980	1713
127	3003	1689
128	3024	1664
129	3045	1639
130	3066	1615
131	3087	1590
132	3110	1566
133	3133	1543
134	3154	1518
135	3176	1494
136	3198	1470
137	3235	1453
138	3259	1430
139	3281	1406
140	3302	1382
141	3323	1357
142	3345	1333
143	3368	1309
144	3390	1286
145	3412	1262
146	3435	1238
147	3483	1223
148	3504	1199
149	3527	1175
150	3550	1152
151	3572	1128
152	3594	1104
153	3616	1080
154	3637	1056
155	3661	1032
156	3683	1008
157	3706	985
158	3728	961
159	3751	937
160	3772	913
161	3793	889
162	3815	866
163	3836	842
164	3858	818
165	3879	794
166	3901	770
167	3923	747
168	3945	723
169	3968	700
170	3990	676
171	4011	653
172	4033	629
173	4055	606
174	4077	582
175	4100	559
176	4123	535
177	4144	512
178	4166	488
179	4188	465
180	4210	441
181	4231	418
182	4253	395
183	4273	371
184	4296	348
185	4318	325
186	4339	301
187	4360	278
188	4382	255
189	4403	231
190	4426	208
191	4448	185
192	4470	162
193	4492	138
194	4515	115
195	4537	92
196	4585	69
197	4608	46
198	4630	23
199	4652	0
