iter	MultiClass	Accuracy
0	1.046708491	0.9166666667
1	0.8180935676	0.9458333333
2	0.6740973674	0.95
3	0.5510267344	0.9541666667
4	0.4786809056	0.9652777778
5	0.4082657226	0.9666666667
6	0.3522828802	0.9708333333
7	0.3090802538	0.975
8	0.2749422129	0.9777777778
9	0.2462935876	0.9777777778
10	0.2210155176	0.9805555556
11	0.1999285039	0.9819444444
12	0.1837977747	0.9833333333
13	0.1677395929	0.9847222222
14	0.1536847469	0.9861111111
15	0.141610392	0.9861111111
16	0.1284731287	0.9861111111
17	0.1206630372	0.9875
18	0.1125004347	0.9888888889
19	0.1043379827	0.9888888889
20	0.0989033888	0.9902777778
21	0.09401698902	0.9916666667
22	0.08981611549	0.9916666667
23	0.08512433407	0.9916666667
24	0.08109707367	0.9930555556
25	0.07854995683	0.9930555556
26	0.0749205951	0.9930555556
27	0.07173490981	0.9930555556
28	0.06912307092	0.9930555556
29	0.06661992428	0.9930555556
30	0.06314755914	0.9930555556
31	0.06099071517	0.9930555556
32	0.05852805798	0.9944444444
33	0.05584587073	0.9944444444
34	0.05408294846	0.9944444444
35	0.05125206735	0.9944444444
36	0.04865874643	0.9958333333
37	0.04648209502	0.9972222222
38	0.04413817459	0.9958333333
39	0.04275285741	0.9972222222
40	0.04119188349	0.9958333333
41	0.04024279053	0.9972222222
42	0.03881188096	0.9986111111
43	0.03782347197	0.9986111111
44	0.03712761114	0.9986111111
45	0.03568615834	0.9986111111
46	0.03439980179	0.9986111111
47	0.03315670696	0.9986111111
48	0.03214395926	0.9986111111
49	0.03161931377	0.9986111111
50	0.03074636211	0.9986111111
51	0.03013855491	0.9986111111
52	0.02914818257	0.9986111111
53	0.02835041344	0.9986111111
54	0.02805667509	0.9986111111
55	0.02727315465	0.9986111111
56	0.02705445154	0.9986111111
57	0.02628697025	0.9986111111
58	0.02522832146	0.9986111111
59	0.02479513918	0.9986111111
60	0.02415427805	0.9986111111
61	0.02348886363	0.9986111111
62	0.02278822255	0.9986111111
63	0.02220870205	0.9986111111
64	0.0217767887	0.9986111111
65	0.02131184855	0.9986111111
66	0.02096024565	0.9986111111
67	0.02068699907	0.9986111111
68	0.02035487738	0.9986111111
69	0.01964833016	0.9986111111
70	0.01918160857	0.9986111111
71	0.01884419818	0.9986111111
72	0.01861090344	0.9986111111
73	0.01831431059	0.9986111111
74	0.01794400461	0.9986111111
75	0.01756826568	0.9986111111
76	0.01732667966	1
77	0.01712162285	1
78	0.01702781358	1
79	0.01684934297	1
80	0.01652669241	1
81	0.01627767727	1
82	0.01608122465	1
83	0.01577676191	1
84	0.01538750454	1
85	0.0151666947	1
86	0.01496067449	1
87	0.01477278264	1
88	0.01461994439	1
89	0.01436597006	1
90	0.0141920433	1
91	0.0140852363	1
92	0.01384131682	1
93	0.01363047743	1
94	0.01343572712	1
95	0.01330216933	1
96	0.01314754926	1
97	0.01301872855	1
98	0.01283125582	1
99	0.01266101701	1
100	0.01248614477	1
101	0.01240060721	1
102	0.01228193231	1
103	0.01212795002	1
104	0.011996912	1
105	0.01191914798	1
106	0.01182828667	1
107	0.01162124794	1
108	0.01149916193	1
109	0.01141113233	1
110	0.01118302455	1
111	0.0111624012	1
112	0.01106885509	1
113	0.01082295174	1
114	0.01073750238	1
115	0.01061116724	1
116	0.01048375317	1
117	0.01036900316	1
118	0.01027076169	1
119	0.01015860609	1
120	0.01006859574	1
121	0.009993115755	1
122	0.009777164848	1
123	0.009635862755	1
124	0.009547847902	1
125	0.009401201691	1
126	0.009307119052	1
127	0.009197646364	1
128	0.009081778182	1
129	0.008990636425	1
130	0.008926503069	1
131	0.008833556704	1
132	0.008734167131	1
133	0.00866452233	1
134	0.008509752254	1
135	0.00841089326	1
136	0.008343292742	1
137	0.008319589876	1
138	0.008236400196	1
139	0.008202997749	1
140	0.0081706469	1
141	0.008127644417	1
142	0.008060535971	1
143	0.007967131366	1
144	0.00790087599	1
145	0.007841469356	1
146	0.007750874716	1
147	0.007709733094	1
148	0.007661668179	1
149	0.00757942151	1
150	0.007487193791	1
151	0.007430380041	1
152	0.007366040124	1
153	0.007332936994	1
154	0.007270849372	1
155	0.00719214031	1
156	0.007060118169	1
157	0.007027225583	1
158	0.006971066731	1
159	0.006929963525	1
160	0.006853418267	1
161	0.006794297296	1
162	0.006754807265	1
163	0.006689034503	1
164	0.006649948709	1
165	0.00660301939	1
166	0.006571717469	1
167	0.006519892373	1
168	0.006453896998	1
169	0.006400707558	1
170	0.006326544844	1
171	0.006277844091	1
172	0.006231662308	1
173	0.006203347081	1
174	0.006167356228	1
175	0.006117449615	1
176	0.00605426746	1
177	0.00600783498	1
178	0.005977243621	1
179	0.005928335089	1
180	0.005890844777	1
181	0.005852424692	1
182	0.005818385331	1
183	0.005783769413	1
184	0.005707157553	1
185	0.005667325384	1
186	0.005624619745	1
187	0.005604965	1
188	0.005565809536	1
189	0.005490909111	1
190	0.005444536534	1
191	0.005420148409	1
192	0.005362898475	1
193	0.00532044378	1
194	0.005283944615	1
195	0.005249485347	1
196	0.00521341836	1
197	0.005174845316	1
198	0.005155657949	1
199	0.005106046062	1
